Tiempo (s), PWM, Voltaje (V), Velocidad (rad/s)
3.980,255,9.0000,11.6355
4.000,255,9.0000,11.6355
4.020,255,9.0000,11.6355
4.040,255,9.0000,10.9083
4.060,255,9.0000,11.6355
4.080,255,9.0000,11.6355
4.100,255,9.0000,11.6355
4.120,255,9.0000,10.9083
4.140,255,9.0000,11.6355
4.160,255,9.0000,11.6355
4.180,255,9.0000,11.6355
4.200,255,9.0000,10.9083
4.220,255,9.0000,11.6355
4.240,255,9.0000,11.6355
4.260,255,9.0000,11.6355
4.280,255,9.0000,10.9083
4.300,255,9.0000,11.6355
4.320,255,9.0000,11.6355
4.340,255,9.0000,11.6355
4.360,255,9.0000,11.6355
4.380,255,9.0000,10.9083
4.400,255,9.0000,11.6355
4.420,255,9.0000,11.6355
4.440,255,9.0000,11.6355
4.460,255,9.0000,10.9083
4.480,255,9.0000,11.6355
4.500,255,9.0000,11.6355
4.520,255,9.0000,11.6355
4.540,255,9.0000,11.6355
4.560,255,9.0000,10.9083
4.580,255,9.0000,11.6355
4.600,255,9.0000,11.6355
4.620,255,9.0000,11.6355
4.640,255,9.0000,10.9083
4.660,255,9.0000,11.6355
4.680,255,9.0000,11.6355
4.700,255,9.0000,11.6355
4.720,255,9.0000,11.6355
4.740,255,9.0000,10.9083
4.760,255,9.0000,11.6355
4.780,255,9.0000,11.6355
4.800,255,9.0000,11.6355
4.820,255,9.0000,11.6355
4.840,255,9.0000,11.6355
4.860,255,9.0000,10.9083
4.880,255,9.0000,11.6355
4.900,255,9.0000,11.6355
4.920,255,9.0000,11.6355
4.940,255,9.0000,11.6355
4.960,255,9.0000,11.6355
4.980,255,9.0000,10.9083
5.000,255,9.0000,11.6355
5.020,255,9.0000,11.6355
5.040,255,9.0000,11.6355
5.060,255,9.0000,11.6355
5.080,255,9.0000,11.6355
5.100,255,9.0000,10.9083
5.120,255,9.0000,11.6355
5.140,255,9.0000,11.6355
5.160,255,9.0000,11.6355
5.180,255,9.0000,11.6355
5.200,255,9.0000,11.6355
5.220,255,9.0000,11.6355
5.240,255,9.0000,10.9083
5.260,255,9.0000,11.6355
5.280,255,9.0000,11.6355
5.300,255,9.0000,11.6355
5.320,255,9.0000,11.6355
5.340,255,9.0000,11.6355
5.360,255,9.0000,11.6355
5.380,255,9.0000,10.9083
5.400,255,9.0000,11.6355
5.420,255,9.0000,11.6355
5.440,255,9.0000,11.6355
5.460,255,9.0000,11.6355
5.480,255,9.0000,11.6355
5.500,255,9.0000,11.6355
5.520,255,9.0000,11.6355
5.540,255,9.0000,11.6355
5.560,255,9.0000,10.9083
5.580,255,9.0000,11.6355
5.600,255,9.0000,11.6355
5.620,255,9.0000,11.6355
5.640,255,9.0000,11.6355
5.660,255,9.0000,11.6355
5.680,255,9.0000,11.6355
5.700,255,9.0000,11.6355
5.720,255,9.0000,11.6355
5.740,255,9.0000,11.6355
5.760,255,9.0000,11.6355
5.780,255,9.0000,11.6355
5.800,255,9.0000,10.9083
5.820,255,9.0000,11.6355
5.840,255,9.0000,11.6355
5.860,255,9.0000,11.6355
5.880,255,9.0000,11.6355
5.900,255,9.0000,11.6355
5.920,255,9.0000,11.6355
5.940,255,9.0000,10.9083
5.960,255,9.0000,11.6355
5.980,255,9.0000,11.6355
6.000,0,0.0000,11.6355
